year,quarter,registeredusers,appopens
2024,Q2,550287982,35407900260
2024,Q3,568010051,38129751823
2024,Q4,586756452,40416377679
2024,Q1,530084540,32626239822
2022,Q1,372951831,15724195113
2022,Q3,414324881,19223454074
2022,Q4,433947940,21262699669
2022,Q2,393424643,17786667567
2019,Q2,141808226,920413791
2019,Q4,178279085,4301071954
2019,Q3,159293934,3448366103
2019,Q1,123432699,0
2018,Q4,102262055,0
2018,Q3,80010952,0
2018,Q2,63648311,0
2018,Q1,46877867,0
2021,Q3,328354923,12256377890
2021,Q4,351161395,15172529039
2021,Q1,284985430,8635508502
2021,Q2,305258086,9630620549
2023,Q4,509358280,29936587770
2023,Q1,453886185,22927510601
2023,Q3,491434385,27225177134
2023,Q2,472369901,24931188217
2020,Q1,197575164,4768944662
2020,Q2,218996326,4357634272
2020,Q4,264271293,7461623162
2020,Q3,241169683,5739326491
