year,quarter,state,district,count,amount
2020,Q3,West Bengal,South Twenty Four Parganas,774,175635.0
2020,Q3,West Bengal,Purba Bardhaman,436,91707.0
2020,Q3,West Bengal,Uttar Dinajpur,179,29463.0
2020,Q3,West Bengal,Kalimpong,12,4338.0
2020,Q3,West Bengal,Murshidabad,458,86182.0
2020,Q3,West Bengal,Paschim Medinipur,564,133265.0
2020,Q3,West Bengal,Dakshin Dinajpur,103,18393.0
2020,Q3,West Bengal,Jalpaiguri,178,50965.0
2020,Q3,West Bengal,Purulia,228,61556.0
2020,Q3,West Bengal,North Twenty Four Parganas,2689,617166.0
2020,Q3,West Bengal,Bankura,318,83055.0
2020,Q3,West Bengal,Jhargram,63,14667.0
2020,Q3,West Bengal,Howrah,846,181661.0
2020,Q3,West Bengal,Hooghly,847,201886.0
2020,Q3,West Bengal,Kolkata,1833,435620.0
2020,Q3,West Bengal,Koch Bihar,146,29449.0
2020,Q3,West Bengal,Alipurduar,129,26591.0
2020,Q3,West Bengal,Paschim Bardhaman,757,186165.0
2020,Q3,West Bengal,Nadia,521,110858.0
2020,Q3,West Bengal,Birbhum,280,56245.0
2020,Q3,West Bengal,Purba Medinipur,581,142104.0
2020,Q3,West Bengal,Maldah,322,65977.0
2020,Q3,West Bengal,Darjiling,332,75534.0
2020,Q4,West Bengal,South Twenty Four Parganas,607,550802.0
2020,Q4,West Bengal,Purba Bardhaman,347,230345.0
2020,Q4,West Bengal,Uttar Dinajpur,160,72655.0
2020,Q4,West Bengal,Kalimpong,18,25400.0
2020,Q4,West Bengal,Murshidabad,422,213072.0
2020,Q4,West Bengal,Paschim Medinipur,358,240211.0
2020,Q4,West Bengal,Dakshin Dinajpur,72,41799.0
2020,Q4,West Bengal,Jalpaiguri,162,124777.0
2020,Q4,West Bengal,Purulia,142,110464.0
2020,Q4,West Bengal,North Twenty Four Parganas,1914,1511195.0
2020,Q4,West Bengal,Bankura,242,163294.0
2020,Q4,West Bengal,Jhargram,44,29925.0
2020,Q4,West Bengal,Howrah,713,547727.0
2020,Q4,West Bengal,Hooghly,569,439509.0
2020,Q4,West Bengal,Kolkata,1692,1306337.0
2020,Q4,West Bengal,Koch Bihar,379,275427.0
2020,Q4,West Bengal,Alipurduar,135,88999.0
2020,Q4,West Bengal,Paschim Bardhaman,563,397183.0
2020,Q4,West Bengal,Nadia,380,251150.0
2020,Q4,West Bengal,Birbhum,198,122183.0
2020,Q4,West Bengal,Purba Medinipur,439,271897.0
2020,Q4,West Bengal,Maldah,303,197517.0
2020,Q4,West Bengal,Darjiling,374,298587.0
2020,Q2,West Bengal,South Twenty Four Parganas,502,100403.0
2020,Q2,West Bengal,Purba Bardhaman,176,36623.0
2020,Q2,West Bengal,Uttar Dinajpur,93,19264.0
2020,Q2,West Bengal,Kalimpong,3,739.0
2020,Q2,West Bengal,Murshidabad,206,42028.0
2020,Q2,West Bengal,Paschim Medinipur,270,56494.0
2020,Q2,West Bengal,Dakshin Dinajpur,29,6935.0
2020,Q2,West Bengal,Jalpaiguri,91,20417.0
2020,Q2,West Bengal,Purulia,101,20567.0
2020,Q2,West Bengal,North Twenty Four Parganas,2047,355405.0
2020,Q2,West Bengal,Bankura,108,24300.0
2020,Q2,West Bengal,Jhargram,8,2147.0
2020,Q2,West Bengal,Howrah,631,114387.0
2020,Q2,West Bengal,Hooghly,565,108804.0
2020,Q2,West Bengal,Kolkata,1288,224075.0
2020,Q2,West Bengal,Koch Bihar,40,8680.0
2020,Q2,West Bengal,Alipurduar,55,11927.0
2020,Q2,West Bengal,Paschim Bardhaman,351,71221.0
2020,Q2,West Bengal,Nadia,317,61692.0
2020,Q2,West Bengal,Birbhum,109,22565.0
2020,Q2,West Bengal,Purba Medinipur,274,56622.0
2020,Q2,West Bengal,Maldah,108,21988.0
2020,Q2,West Bengal,Darjiling,247,45481.0
2022,Q2,Tripura,Unakoti,40,63470.0
2022,Q2,Tripura,Khowai,45,81110.0
2022,Q2,Tripura,Sepahijala,93,181097.0
2022,Q2,Tripura,North Tripura,72,124850.0
2022,Q2,Tripura,Dhalai,68,144009.0
2022,Q2,Tripura,South Tripura,59,80865.0
2022,Q2,Tripura,Gomati,101,156478.0
2022,Q2,Tripura,West Tripura,543,677226.0
2022,Q1,Tripura,Unakoti,35,56635.0
2022,Q1,Tripura,Khowai,48,104540.0
2022,Q1,Tripura,Sepahijala,50,77987.0
2022,Q1,Tripura,North Tripura,92,181157.0
2022,Q1,Tripura,Dhalai,70,143221.0
2022,Q1,Tripura,South Tripura,61,83758.0
2022,Q1,Tripura,Gomati,82,156558.0
2022,Q1,Tripura,West Tripura,469,689545.0
2022,Q4,Tripura,Unakoti,62,100689.0
2022,Q4,Tripura,Khowai,78,103717.0
2022,Q4,Tripura,Sepahijala,133,215653.0
2022,Q4,Tripura,North Tripura,112,153587.0
2022,Q4,Tripura,Dhalai,97,166204.0
2022,Q4,Tripura,South Tripura,130,203072.0
2022,Q4,Tripura,Gomati,150,215799.0
2022,Q4,Tripura,West Tripura,746,953813.0
2022,Q3,Tripura,Unakoti,62,99811.0
2022,Q3,Tripura,Khowai,50,72190.0
2022,Q3,Tripura,Sepahijala,137,179117.0
2022,Q3,Tripura,North Tripura,117,198035.0
2022,Q3,Tripura,Dhalai,97,161415.0
2022,Q3,Tripura,South Tripura,167,201355.0
2022,Q3,Tripura,Gomati,137,183401.0
2022,Q3,Tripura,West Tripura,823,1010660.0
2021,Q3,Uttar Pradesh,Amethi,182,228933.0
2021,Q3,Uttar Pradesh,Siddharthnagar,274,279593.0
2021,Q3,Uttar Pradesh,Auraiya,147,132528.0
2021,Q3,Uttar Pradesh,Sambhal,102,97686.0
2021,Q3,Uttar Pradesh,Kanpur Nagar,1414,1206885.0
2021,Q3,Uttar Pradesh,Aligarh,726,584646.0
2021,Q3,Uttar Pradesh,Mahoba,73,62704.0
2021,Q3,Uttar Pradesh,Lucknow,2417,2537773.0
2021,Q3,Uttar Pradesh,Sant Kabeer Nagar,119,140728.0
2021,Q3,Uttar Pradesh,Hathras,118,103123.0
2021,Q3,Uttar Pradesh,Budaun,130,151277.0
2021,Q3,Uttar Pradesh,Moradabad,1224,740164.0
2021,Q3,Uttar Pradesh,Kushinagar,328,361385.0
2021,Q3,Uttar Pradesh,Baghpat,261,326700.0
2021,Q3,Uttar Pradesh,Shahjahanpur,238,296485.0
2021,Q3,Uttar Pradesh,Muzaffarnagar,410,538535.0
2021,Q3,Uttar Pradesh,Ambedkar Nagar,141,166159.0
2021,Q3,Uttar Pradesh,Bahraich,228,200225.0
2021,Q3,Uttar Pradesh,Jalaun,158,160855.0
2021,Q3,Uttar Pradesh,Rampur,306,276971.0
2021,Q3,Uttar Pradesh,Ballia,349,464345.0
2021,Q3,Uttar Pradesh,Shravasti,39,32419.0
2021,Q3,Uttar Pradesh,Kasganj,132,274404.0
2021,Q3,Uttar Pradesh,Varanasi,762,712414.0
2021,Q3,Uttar Pradesh,Gautam Buddha Nagar,3442,3050678.0
2021,Q3,Uttar Pradesh,Basti,587,381572.0
2021,Q3,Uttar Pradesh,Shamli,211,245883.0
2021,Q3,Uttar Pradesh,Maharajganj,204,223861.0
2021,Q3,Uttar Pradesh,Etawah,191,191589.0
2021,Q3,Uttar Pradesh,Etah,107,118422.0
2021,Q3,Uttar Pradesh,Banda,95,65425.0
2021,Q3,Uttar Pradesh,Bijnor,466,538812.0
2021,Q3,Uttar Pradesh,Hardoi,178,394991.0
2021,Q3,Uttar Pradesh,Balrampur,118,111309.0
2021,Q3,Uttar Pradesh,Amroha,223,275961.0
2021,Q3,Uttar Pradesh,Pilibhit,139,113720.0
2021,Q3,Uttar Pradesh,Mainpuri,186,166179.0
2021,Q3,Uttar Pradesh,Kanpur Dehat,135,149610.0
2021,Q3,Uttar Pradesh,Jaunpur,405,531449.0
2021,Q3,Uttar Pradesh,Kaushambi,88,119483.0
2021,Q3,Uttar Pradesh,Hapur,330,431030.0
2021,Q3,Uttar Pradesh,Hamirpur,103,102710.0
2021,Q3,Uttar Pradesh,Meerut,1061,1113523.0
2021,Q3,Uttar Pradesh,Mathura,455,523287.0
2021,Q3,Uttar Pradesh,Chitrakoot,57,43577.0
2021,Q3,Uttar Pradesh,Lalitpur,89,70800.0
2021,Q3,Uttar Pradesh,Mau,240,290101.0
2021,Q3,Uttar Pradesh,Mirzapur,212,235668.0
2021,Q3,Uttar Pradesh,Bulandshahr,491,491604.0
2021,Q3,Uttar Pradesh,Gonda,202,209720.0
2021,Q3,Uttar Pradesh,Jhansi,426,423210.0
2021,Q3,Uttar Pradesh,Chandauli,205,178372.0
2021,Q3,Uttar Pradesh,Bhadohi,310,225341.0
2021,Q3,Uttar Pradesh,Pratapgarh,274,308744.0
2021,Q3,Uttar Pradesh,Saharanpur,655,643392.0
2021,Q3,Uttar Pradesh,Bara Banki,183,193812.0
2021,Q3,Uttar Pradesh,Bareilly,717,721009.0
2021,Q3,Uttar Pradesh,Sitapur,178,164926.0
2021,Q3,Uttar Pradesh,Sultanpur,247,316724.0
2021,Q3,Uttar Pradesh,Agra,833,766422.0
2021,Q3,Uttar Pradesh,Fatehpur,168,202889.0
2021,Q3,Uttar Pradesh,Rae Bareli,221,260492.0
2021,Q3,Uttar Pradesh,Firozabad,250,197173.0
2021,Q3,Uttar Pradesh,Kheri,183,175672.0
2021,Q3,Uttar Pradesh,Gorakhpur,931,958444.0
2021,Q3,Uttar Pradesh,Unnao,245,263006.0
2021,Q3,Uttar Pradesh,Prayagraj,1042,1036771.0
2021,Q3,Uttar Pradesh,Sonbhadra,453,404285.0
2021,Q3,Uttar Pradesh,Ghazipur,419,400407.0
2021,Q3,Uttar Pradesh,Farrukhabad,144,158630.0
2021,Q3,Uttar Pradesh,Kannauj,112,106313.0
2021,Q3,Uttar Pradesh,Azamgarh,522,553067.0
2021,Q3,Uttar Pradesh,Ayodhya,316,363307.0
2021,Q3,Uttar Pradesh,Deoria,320,343998.0
2021,Q3,Uttar Pradesh,Ghaziabad,3152,3006811.0
2021,Q2,Uttar Pradesh,Amethi,140,196952.0
2021,Q2,Uttar Pradesh,Siddharthnagar,170,205924.0
2021,Q2,Uttar Pradesh,Auraiya,134,137230.0
2021,Q2,Uttar Pradesh,Sambhal,97,102490.0
2021,Q2,Uttar Pradesh,Kanpur Nagar,1135,1145126.0
2021,Q2,Uttar Pradesh,Aligarh,429,443860.0
2021,Q2,Uttar Pradesh,Mahoba,59,42197.0
2021,Q2,Uttar Pradesh,Lucknow,1853,1917156.0
2021,Q2,Uttar Pradesh,Sant Kabeer Nagar,116,188392.0
2021,Q2,Uttar Pradesh,Hathras,112,90543.0
2021,Q2,Uttar Pradesh,Budaun,95,94269.0
2021,Q2,Uttar Pradesh,Moradabad,928,574505.0
2021,Q2,Uttar Pradesh,Kushinagar,292,269643.0
2021,Q2,Uttar Pradesh,Baghpat,206,231733.0
2021,Q2,Uttar Pradesh,Shahjahanpur,163,142296.0
2021,Q2,Uttar Pradesh,Muzaffarnagar,286,326400.0
2021,Q2,Uttar Pradesh,Ambedkar Nagar,128,114658.0
2021,Q2,Uttar Pradesh,Bahraich,133,117033.0
2021,Q2,Uttar Pradesh,Jalaun,133,144433.0
2021,Q2,Uttar Pradesh,Rampur,150,128827.0
2021,Q2,Uttar Pradesh,Ballia,333,354800.0
2021,Q2,Uttar Pradesh,Shravasti,32,50033.0
2021,Q2,Uttar Pradesh,Kasganj,87,92337.0
2021,Q2,Uttar Pradesh,Varanasi,689,536792.0
2021,Q2,Uttar Pradesh,Gautam Buddha Nagar,2623,2093735.0
2021,Q2,Uttar Pradesh,Basti,258,286462.0
2021,Q2,Uttar Pradesh,Shamli,159,151842.0
2021,Q2,Uttar Pradesh,Maharajganj,199,240069.0
2021,Q2,Uttar Pradesh,Etawah,171,224445.0
2021,Q2,Uttar Pradesh,Etah,117,106509.0
2021,Q2,Uttar Pradesh,Banda,116,115693.0
2021,Q2,Uttar Pradesh,Bijnor,300,376395.0
2021,Q2,Uttar Pradesh,Hardoi,156,191551.0
2021,Q2,Uttar Pradesh,Balrampur,66,136206.0
2021,Q2,Uttar Pradesh,Amroha,178,242219.0
2021,Q2,Uttar Pradesh,Pilibhit,104,88035.0
2021,Q2,Uttar Pradesh,Mainpuri,170,157028.0
2021,Q2,Uttar Pradesh,Kanpur Dehat,130,150104.0
2021,Q2,Uttar Pradesh,Jaunpur,455,441297.0
2021,Q2,Uttar Pradesh,Kaushambi,77,66254.0
2021,Q2,Uttar Pradesh,Hapur,263,290697.0
2021,Q2,Uttar Pradesh,Hamirpur,90,95768.0
2021,Q2,Uttar Pradesh,Meerut,818,933510.0
2021,Q2,Uttar Pradesh,Mathura,418,409156.0
2021,Q2,Uttar Pradesh,Chitrakoot,63,69030.0
2021,Q2,Uttar Pradesh,Lalitpur,73,67155.0
2021,Q2,Uttar Pradesh,Mau,212,258041.0
2021,Q2,Uttar Pradesh,Mirzapur,196,183396.0
2021,Q2,Uttar Pradesh,Bulandshahr,401,422373.0
2021,Q2,Uttar Pradesh,Gonda,186,165743.0
2021,Q2,Uttar Pradesh,Jhansi,417,380539.0
2021,Q2,Uttar Pradesh,Chandauli,149,172618.0
2021,Q2,Uttar Pradesh,Bhadohi,215,155190.0
2021,Q2,Uttar Pradesh,Pratapgarh,280,264727.0
2021,Q2,Uttar Pradesh,Saharanpur,389,378988.0
2021,Q2,Uttar Pradesh,Bara Banki,131,158646.0
2021,Q2,Uttar Pradesh,Bareilly,554,530467.0
2021,Q2,Uttar Pradesh,Sitapur,127,157465.0
2021,Q2,Uttar Pradesh,Sultanpur,195,277593.0
2021,Q2,Uttar Pradesh,Agra,643,468307.0
2021,Q2,Uttar Pradesh,Fatehpur,146,157378.0
2021,Q2,Uttar Pradesh,Rae Bareli,153,151694.0
2021,Q2,Uttar Pradesh,Firozabad,207,150020.0
2021,Q2,Uttar Pradesh,Kheri,192,160317.0
2021,Q2,Uttar Pradesh,Gorakhpur,720,732382.0
2021,Q2,Uttar Pradesh,Unnao,189,205019.0
2021,Q2,Uttar Pradesh,Prayagraj,890,892945.0
2021,Q2,Uttar Pradesh,Sonbhadra,381,293221.0
2021,Q2,Uttar Pradesh,Ghazipur,350,351153.0
2021,Q2,Uttar Pradesh,Farrukhabad,143,124158.0
2021,Q2,Uttar Pradesh,Kannauj,99,107105.0
2021,Q2,Uttar Pradesh,Azamgarh,412,451206.0
2021,Q2,Uttar Pradesh,Ayodhya,286,303734.0
2021,Q2,Uttar Pradesh,Deoria,382,426284.0
2021,Q2,Uttar Pradesh,Ghaziabad,2403,2076073.0
2021,Q4,Uttar Pradesh,Amethi,235,370319.0
2021,Q4,Uttar Pradesh,Siddharthnagar,263,391652.0
2021,Q4,Uttar Pradesh,Auraiya,162,277437.0
2021,Q4,Uttar Pradesh,Sambhal,112,144062.0
2021,Q4,Uttar Pradesh,Kanpur Nagar,2265,2760463.0
2021,Q4,Uttar Pradesh,Aligarh,778,1047913.0
2021,Q4,Uttar Pradesh,Mahoba,91,170037.0
2021,Q4,Uttar Pradesh,Lucknow,3296,4038538.0
2021,Q4,Uttar Pradesh,Sant Kabeer Nagar,184,308462.0
2021,Q4,Uttar Pradesh,Hathras,169,269090.0
2021,Q4,Uttar Pradesh,Budaun,224,242322.0
2021,Q4,Uttar Pradesh,Moradabad,896,964494.0
2021,Q4,Uttar Pradesh,Kushinagar,430,576900.0
2021,Q4,Uttar Pradesh,Baghpat,337,552533.0
2021,Q4,Uttar Pradesh,Shahjahanpur,252,466272.0
2021,Q4,Uttar Pradesh,Muzaffarnagar,554,864369.0
