year,quarter,state,count,amount
2024,Q3,Puducherry,2600,3968523.0
2024,Q3,Tamil Nadu,116867,162128271.0
2024,Q3,Uttar Pradesh,92930,157303596.0
2024,Q3,Madhya Pradesh,43248,77995668.0
2024,Q3,Andhra Pradesh,48014,73915199.0
2024,Q3,Tripura,2516,3323343.0
2024,Q3,Lakshadweep,49,55312.0
2024,Q3,Manipur,285,587893.0
2024,Q3,Maharashtra,119776,201319952.0
2024,Q3,Dadra & Nagar Haveli & Daman & Diu,1052,1602869.0
2024,Q3,Meghalaya,1140,2443878.0
2024,Q3,Andaman & Nicobar Islands,1191,1752800.0
2024,Q3,Haryana,49735,79198642.0
2024,Q3,Rajasthan,64533,108827800.0
2024,Q3,Ladakh,446,978637.0
2024,Q3,Punjab,15509,30111034.0
2024,Q3,Assam,17633,31388971.0
2024,Q3,Jharkhand,23629,34353146.0
2024,Q3,Odisha,26524,40608651.0
2024,Q3,Bihar,44745,62777286.0
2024,Q3,Kerala,79123,131721699.0
2024,Q3,Karnataka,174990,287393291.0
2024,Q3,Chandigarh,1991,3445738.0
2024,Q3,Telangana,64873,110715264.0
2024,Q3,Himachal Pradesh,5272,10538999.0
2024,Q3,West Bengal,77158,107451766.0
2024,Q3,Gujarat,46763,70950327.0
2024,Q3,Sikkim,461,1029398.0
2024,Q3,Nagaland,410,820539.0
2024,Q3,Mizoram,186,275746.0
2024,Q3,Chhattisgarh,16550,27724060.0
2024,Q3,Jammu & Kashmir,7597,15554635.0
2024,Q3,Goa,5354,8051690.0
2024,Q3,Arunachal Pradesh,842,1951385.0
2024,Q3,Delhi,49150,71139489.0
2024,Q3,Uttarakhand,10487,17860144.0
2024,Q4,Puducherry,2838,3896033.0
2024,Q4,Tamil Nadu,127002,173784251.0
2024,Q4,Uttar Pradesh,116589,199179867.0
2024,Q4,Madhya Pradesh,59688,101096769.0
2024,Q4,Andhra Pradesh,61425,80028914.0
2024,Q4,Tripura,2794,3765732.0
2024,Q4,Lakshadweep,159,185542.0
2024,Q4,Manipur,405,826159.0
2024,Q4,Maharashtra,168078,266942711.0
2024,Q4,Dadra & Nagar Haveli & Daman & Diu,1503,2292529.0
2024,Q4,Meghalaya,1313,2493656.0
