year,quarter,state,district,count,amount
2024,Q3,Tamil Nadu,Tiruchirappalli,16821080,26735831676.0
2024,Q3,Tamil Nadu,Ramanathapuram,5628706,10107513506.0
2024,Q3,Tamil Nadu,Krishnagiri,52506928,73301484929.0
2024,Q3,Tamil Nadu,Cuddalore,12570583,18940841708.0
2024,Q3,Tamil Nadu,Kancheepuram,23328353,24011820790.0
2024,Q3,Tamil Nadu,Tiruvallur,44176639,53959665430.0
2024,Q3,Tamil Nadu,Tiruppur,48901654,50679716382.0
2024,Q3,Tamil Nadu,Dharmapuri,21417212,36084731724.0
2024,Q3,Tamil Nadu,Thanjavur,9753614,16424453797.0
2024,Q3,Tamil Nadu,Madurai,21204628,35158427511.0
2024,Q3,Tamil Nadu,Tiruvannamalai,15188174,22392130322.0
2024,Q3,Tamil Nadu,Salem,33141851,52624920242.0
2024,Q3,Tamil Nadu,Nagapattinam,2339562,3604856114.0
2024,Q3,Tamil Nadu,Tirupathur,14810501,21259747271.0
2024,Q3,Tamil Nadu,Ariyalur,3312755,5310525254.0
2024,Q3,Tamil Nadu,Chennai,143084282,169689201432.0
2024,Q3,Tamil Nadu,The Nilgiris,5358170,7516693826.0
2024,Q3,Tamil Nadu,Erode,18580554,25048231561.0
2024,Q3,Tamil Nadu,Mayiladuthurai,3345699,5446138005.0
2024,Q3,Tamil Nadu,Karur,6759508,10597543664.0
2024,Q3,Tamil Nadu,Viluppuram,9938296,14502015263.0
2024,Q3,Tamil Nadu,Tiruvarur,3538404,6058574350.0
2024,Q3,Tamil Nadu,Pudukkottai,6166391,10726980580.0
2024,Q3,Tamil Nadu,Perambalur,3302732,5331466148.0
2024,Q3,Tamil Nadu,Coimbatore,62304716,72806039590.0
2024,Q3,Tamil Nadu,Virudhunagar,9277782,14648174417.0
2024,Q3,Tamil Nadu,Dindigul,15869145,25983055707.0
2024,Q3,Tamil Nadu,Sivaganga,6413825,11090215914.0
2024,Q3,Tamil Nadu,Tenkasi,5497212,9575350589.0
2024,Q3,Tamil Nadu,Thoothukudi,9609533,13886387378.0
2024,Q3,Tamil Nadu,Chengalpattu,63066447,70789528754.0
2024,Q3,Tamil Nadu,Kanniyakumari,10379523,18429699952.0
2024,Q3,Tamil Nadu,Tirunelveli,10939657,16201390321.0
2024,Q3,Tamil Nadu,Theni,8769614,15137185870.0
2024,Q3,Tamil Nadu,Ranipet,10001547,14478763352.0
2024,Q3,Tamil Nadu,Namakkal,13309674,21314697708.0
2024,Q3,Tamil Nadu,Kallakurichi,9349079,14390186473.0
2024,Q3,Tamil Nadu,Vellore,18572671,26535407311.0
2024,Q4,Tamil Nadu,Tiruchirappalli,18164926,27692698891.0
2024,Q4,Tamil Nadu,Ramanathapuram,6479818,10844935366.0
2024,Q4,Tamil Nadu,Krishnagiri,55835514,77845105518.0
2024,Q4,Tamil Nadu,Cuddalore,13338588,19217427464.0
2024,Q4,Tamil Nadu,Kancheepuram,24243664,24760766003.0
2024,Q4,Tamil Nadu,Tiruvallur,45960839,55181102941.0
2024,Q4,Tamil Nadu,Tiruppur,51439579,52757665801.0
2024,Q4,Tamil Nadu,Dharmapuri,22994418,38361998279.0
2024,Q4,Tamil Nadu,Thanjavur,10362941,16706684114.0
2024,Q4,Tamil Nadu,Madurai,22928854,37099323538.0
2024,Q4,Tamil Nadu,Tiruvannamalai,16757481,23895919564.0
2024,Q4,Tamil Nadu,Salem,35496830,55558357782.0
2024,Q4,Tamil Nadu,Nagapattinam,2541738,3678676234.0
2024,Q4,Tamil Nadu,Tirupathur,15938909,22472266039.0
2024,Q4,Tamil Nadu,Ariyalur,3584718,5434461580.0
2024,Q4,Tamil Nadu,Chennai,144309690,168887539592.0
2024,Q4,Tamil Nadu,The Nilgiris,6234034,8470535455.0
2024,Q4,Tamil Nadu,Erode,19939037,26513794453.0
2024,Q4,Tamil Nadu,Mayiladuthurai,3545063,5372761836.0
2024,Q4,Tamil Nadu,Karur,7297523,11065343215.0
2024,Q4,Tamil Nadu,Viluppuram,10344883,14676073328.0
2024,Q4,Tamil Nadu,Tiruvarur,3780392,6045359037.0
2024,Q4,Tamil Nadu,Pudukkottai,6613109,11027691335.0
2024,Q4,Tamil Nadu,Perambalur,3476716,5438743693.0
2024,Q4,Tamil Nadu,Coimbatore,65144682,75506314891.0
2024,Q4,Tamil Nadu,Virudhunagar,9917608,15094605820.0
2024,Q4,Tamil Nadu,Dindigul,17815170,28077104697.0
2024,Q4,Tamil Nadu,Sivaganga,6933590,11397286944.0
2024,Q4,Tamil Nadu,Tenkasi,5959308,9784471540.0
2024,Q4,Tamil Nadu,Thoothukudi,10386762,14369832646.0
2024,Q4,Tamil Nadu,Chengalpattu,64707958,70865333696.0
2024,Q4,Tamil Nadu,Kanniyakumari,11893132,20300739574.0
2024,Q4,Tamil Nadu,Tirunelveli,11796722,16884362356.0
2024,Q4,Tamil Nadu,Theni,9548264,16118572688.0
2024,Q4,Tamil Nadu,Ranipet,10644664,14975270858.0
2024,Q4,Tamil Nadu,Namakkal,14364096,22565497455.0
2024,Q4,Tamil Nadu,Kallakurichi,9981356,15051182741.0
2024,Q4,Tamil Nadu,Vellore,19721312,27637068642.0
2024,Q1,Tamil Nadu,Tiruchirappalli,14278556,23716041524.0
2024,Q1,Tamil Nadu,Ramanathapuram,4518193,8591728211.0
2024,Q1,Tamil Nadu,Krishnagiri,42695248,61415392428.0
2024,Q1,Tamil Nadu,Cuddalore,10764557,16876011437.0
2024,Q1,Tamil Nadu,Kancheepuram,38497430,44400961508.0
2024,Q1,Tamil Nadu,Tiruppur,36955831,42134355819.0
2024,Q1,Tamil Nadu,Dharmapuri,17857287,31492929049.0
2024,Q1,Tamil Nadu,Thoothukkudi,7514515,11723950330.0
2024,Q1,Tamil Nadu,Thanjavur,8245372,14554478613.0
2024,Q1,Tamil Nadu,Madurai,17834154,30974869226.0
2024,Q1,Tamil Nadu,Tiruvannamalai,12435111,19953702825.0
2024,Q1,Tamil Nadu,Salem,27703215,46990936545.0
2024,Q1,Tamil Nadu,Nagapattinam,4639442,7799907638.0
2024,Q1,Tamil Nadu,Tirupathur,12357042,18634929706.0
2024,Q1,Tamil Nadu,Ariyalur,2809349,4664522239.0
2024,Q1,Tamil Nadu,Chennai,67130965,86437941385.0
2024,Q1,Tamil Nadu,The Nilgiris,4609568,6738423454.0
2024,Q1,Tamil Nadu,Erode,15009886,22025247558.0
2024,Q1,Tamil Nadu,Karur,5686148,9454652190.0
2024,Q1,Tamil Nadu,Kallakkurichi,8605524,14256574453.0
2024,Q1,Tamil Nadu,Viluppuram,7824816,11860971846.0
2024,Q1,Tamil Nadu,Pudukkottai,5110066,9486889594.0
2024,Q1,Tamil Nadu,Perambalur,2738023,4634690995.0
