year,quarter,state,count,amount
2024,Q3,Puducherry,16008711,19535004396.0
2024,Q3,Tamil Nadu,778536701,1050779594821.0
2024,Q3,Uttar Pradesh,2285955833,2717475205234.0
2024,Q3,Madhya Pradesh,1537738457,1761082466531.0
2024,Q3,Andhra Pradesh,2091371362,3226645607489.0
2024,Q3,Tripura,14400581,19948846189.0
2024,Q3,Lakshadweep,157478,192408087.0
2024,Q3,Manipur,5700096,11671516831.0
2024,Q3,Maharashtra,3287403995,3687268662139.0
2024,Q3,Dadra & Nagar Haveli & Daman & Diu,25446270,21564631566.0
2024,Q3,Meghalaya,12110124,16292956696.0
2024,Q3,Andaman & Nicobar Islands,5279250,7663845009.0
2024,Q3,Haryana,794940220,923206681798.0
2024,Q3,Rajasthan,1935405035,2472257715905.0
2024,Q3,Ladakh,6913885,12652871712.0
2024,Q3,Punjab,187554720,256116156529.0
2024,Q3,Assam,295345591,333558308550.0
2024,Q3,Jharkhand,522575883,609909540592.0
2024,Q3,Odisha,1023940349,1177233944634.0
2024,Q3,Bihar,1352876223,1780280473339.0
2024,Q3,Kerala,214695458,258302031309.0
2024,Q3,Karnataka,3261134095,3907202566484.0
2024,Q3,Chandigarh,17708385,19259257876.0
2024,Q3,Telangana,2610137835,3551316976598.0
2024,Q3,Himachal Pradesh,49737549,56615941598.0
2024,Q3,West Bengal,1084916445,1607643782237.0
2024,Q3,Gujarat,757441250,963551388101.0
2024,Q3,Sikkim,7713781,10569829072.0
2024,Q3,Nagaland,6981635,12281315168.0
2024,Q3,Mizoram,2360206,3923888231.0
2024,Q3,Chhattisgarh,443640102,497360133758.0
2024,Q3,Jammu & Kashmir,119555288,144470345977.0
2024,Q3,Goa,36762111,45913528012.0
2024,Q3,Arunachal Pradesh,24447142,31601956705.0
2024,Q3,Delhi,844844523,958203383588.0
2024,Q3,Uttarakhand,159278815,173414867549.0
2024,Q4,Puducherry,16559677,19965392547.0
2024,Q4,Tamil Nadu,820423888,1087632875606.0
2024,Q4,Uttar Pradesh,2544890265,3214106522459.0
2024,Q4,Madhya Pradesh,1685401835,2003305068845.0
2024,Q4,Andhra Pradesh,2296445544,3452015568966.0
2024,Q4,Tripura,15945159,22409905268.0
2024,Q4,Lakshadweep,197777,247756681.0
2024,Q4,Manipur,5750423,12061708556.0
2024,Q4,Maharashtra,3634231839,4151028450887.0
2024,Q4,Dadra & Nagar Haveli & Daman & Diu,28463700,23945221461.0
2024,Q4,Meghalaya,14166380,19674927433.0
2024,Q4,Andaman & Nicobar Islands,6063900,8920944773.0
2024,Q4,Haryana,841394290,1031959359354.0
2024,Q4,Rajasthan,2043469547,2793049371408.0
2024,Q4,Ladakh,5711284,10854417654.0
2024,Q4,Punjab,199509220,289125652032.0
2024,Q4,Assam,332441531,382786405959.0
2024,Q4,Jharkhand,586904686,704010501034.0
2024,Q4,Odisha,1143097568,1305457593239.0
2024,Q4,Bihar,1559667675,2098927476047.0
2024,Q4,Kerala,233112441,273639970566.0
2024,Q4,Karnataka,3455056424,4151819803822.0
2024,Q4,Chandigarh,18528444,20501385889.0
2024,Q4,Telangana,2822451603,3859050535418.0
2024,Q4,Himachal Pradesh,53798398,63736996234.0
2024,Q4,West Bengal,1227135682,1810100029406.0
2024,Q4,Gujarat,827374966,1076014501422.0
2024,Q4,Sikkim,8916870,12641101398.0
2024,Q4,Nagaland,7921552,13959098676.0
2024,Q4,Mizoram,2702443,4461162922.0
2024,Q4,Chhattisgarh,500655404,576828444625.0
2024,Q4,Jammu & Kashmir,126261217,160950980732.0
2024,Q4,Goa,46131536,56562589543.0
2024,Q4,Arunachal Pradesh,26793457,35079886873.0
2024,Q4,Delhi,910543082,1057060485903.0
2024,Q4,Uttarakhand,171136132,194908790959.0
2024,Q1,Puducherry,13446950,17386481977.0
2024,Q1,Tamil Nadu,640327197,913861111062.0
2024,Q1,Uttar Pradesh,1785296948,2477543106639.0
2024,Q1,Madhya Pradesh,1286156614,1625420229864.0
2024,Q1,Andhra Pradesh,1755428485,3012725669749.0
2024,Q1,Tripura,11042639,17752189374.0
2024,Q1,Lakshadweep,81176,130052381.0
2024,Q1,Manipur,3845564,9242973323.0
2024,Q1,Maharashtra,2835770481,3372898894856.0
2024,Q1,Dadra & Nagar Haveli & Daman & Diu,21115009,19519196325.0
2024,Q1,Meghalaya,8531262,15629304658.0
2024,Q1,Andaman & Nicobar Islands,4184920,6859151835.0
2024,Q1,Haryana,604293500,806788219232.0
2024,Q1,Rajasthan,1599474007,2350500173790.0
2024,Q1,Ladakh,2987101,6085390661.0
2024,Q1,Punjab,142537179,223303420322.0
2024,Q1,Assam,221525056,321183906030.0
2024,Q1,Jharkhand,426759095,559720237073.0
2024,Q1,Odisha,864178452,1156388722536.0
2024,Q1,Bihar,1078734783,1637736864896.0
2024,Q1,Kerala,181463966,227077974738.0
2024,Q1,Karnataka,2796439155,3485248654506.0
2024,Q1,Chandigarh,13155173,15842176181.0
2024,Q1,Telangana,2179385307,3203769301073.0
2024,Q1,Himachal Pradesh,39520561,47884231339.0
2024,Q1,West Bengal,836408587,1422025506833.0
2024,Q1,Gujarat,606576671,871619464924.0
2024,Q1,Sikkim,5820146,9455721523.0
