year,quarter,state,district,registeredusers,appopens
2024,Q2,West Bengal,South Twenty Four Parganas,2333257,48907886
2024,Q2,West Bengal,Purba Bardhaman,1432719,27344799
2024,Q2,West Bengal,Uttar Dinajpur,745909,30106105
2024,Q2,West Bengal,Kalimpong,68216,10811201
2024,Q2,West Bengal,Murshidabad,2271497,39476726
2024,Q2,West Bengal,Paschim Medinipur,1558562,62087954
2024,Q2,West Bengal,Dakshin Dinajpur,532683,16791897
2024,Q2,West Bengal,Jalpaiguri,480852,55232843
2024,Q2,West Bengal,Purulia,806146,57228135
2024,Q2,West Bengal,North Twenty Four Parganas,4746814,24068556
2024,Q2,West Bengal,Bankura,1176224,37405005
2024,Q2,West Bengal,Jhargram,226765,25687134
2024,Q2,West Bengal,Howrah,1807232,5159394
2024,Q2,West Bengal,Hooghly,2007748,15379875
2024,Q2,West Bengal,Kolkata,3404100,13561413
2024,Q2,West Bengal,Koch Bihar,693775,48728961
2024,Q2,West Bengal,Alipurduar,334161,29638481
2024,Q2,West Bengal,Paschim Bardhaman,1412133,10893467
2024,Q2,West Bengal,Nadia,1737326,14549939
2024,Q2,West Bengal,Birbhum,1099269,38692858
2024,Q2,West Bengal,Purba Medinipur,1721598,18370486
2024,Q2,West Bengal,Maldah,1231444,42755282
2024,Q2,West Bengal,Darjiling,711967,31397877
2024,Q1,West Bengal,South Twenty Four Parganas,2243985,42483611
2024,Q1,West Bengal,Purba Bardhaman,1377496,28024604
2024,Q1,West Bengal,Uttar Dinajpur,716736,31442709
2024,Q1,West Bengal,Kalimpong,65762,11444998
2024,Q1,West Bengal,Murshidabad,2188015,28628013
2024,Q1,West Bengal,Paschim Medinipur,1498903,38126856
2024,Q1,West Bengal,Dakshin Dinajpur,511007,21364389
2024,Q1,West Bengal,Jalpaiguri,462801,43873728
2024,Q1,West Bengal,Purulia,774183,63254947
2024,Q1,West Bengal,North Twenty Four Parganas,4570438,26700160
2024,Q1,West Bengal,Bankura,1129802,34724845
2024,Q1,West Bengal,Jhargram,217964,26760062
2024,Q1,West Bengal,Howrah,1737851,6898283
2024,Q1,West Bengal,Hooghly,1930844,9174861
2024,Q1,West Bengal,Kolkata,3279239,11300557
2024,Q1,West Bengal,Koch Bihar,666807,28306320
2024,Q1,West Bengal,Alipurduar,321436,42854264
2024,Q1,West Bengal,Paschim Bardhaman,1359767,10536398
2024,Q1,West Bengal,Nadia,1671140,13679202
