year,quarter,state,registeredusers,appopens
2024,Q2,Puducherry,655486,2882669
2024,Q2,Tamil Nadu,31818880,1071832085
2024,Q2,Uttar Pradesh,58199149,3406733148
2024,Q2,Madhya Pradesh,29324466,4877924433
2024,Q2,Andhra Pradesh,35303719,1061281082
2024,Q2,Tripura,876724,97341017
2024,Q2,Lakshadweep,8895,683424
2024,Q2,Manipur,614446,59706780
2024,Q2,Maharashtra,70597223,3406640277
2024,Q2,Dadra & Nagar Haveli & Daman & Diu,640724,7489619
2024,Q2,Meghalaya,379342,204649032
2024,Q2,Andaman & Nicobar Islands,112687,16876883
2024,Q2,Haryana,18932084,495253484
2024,Q2,Rajasthan,34773619,4962266918
2024,Q2,Ladakh,134702,41355640
2024,Q2,Punjab,10677703,502438995
2024,Q2,Assam,6767874,1728273868
2024,Q2,Jharkhand,10501982,1583300137
2024,Q2,Odisha,18078622,1439371537
2024,Q2,Bihar,27786576,1034146507
2024,Q2,Kerala,13008410,164717612
2024,Q2,Karnataka,45290606,2195010418
2024,Q2,Chandigarh,782791,3351127
2024,Q2,Telangana,32232171,1007869816
2024,Q2,Himachal Pradesh,3172766,291406931
2024,Q2,West Bengal,32540397,704276274
2024,Q2,Gujarat,28439885,2418997443
2024,Q2,Sikkim,304650,45285995
2024,Q2,Nagaland,414876,60494356
2024,Q2,Mizoram,171540,44171046
2024,Q2,Chhattisgarh,8704757,1483224382
2024,Q2,Jammu & Kashmir,2279903,425109975
2024,Q2,Goa,1073516,21359943
2024,Q2,Arunachal Pradesh,500669,132013837
2024,Q2,Delhi,19789096,99756459
2024,Q2,Uttarakhand,5395292,309932840
2024,Q4,Puducherry,646158,30724911
2024,Q4,Tamil Nadu,33966610,2229881172
2024,Q4,Uttar Pradesh,70474113,5080900941
2024,Q4,Madhya Pradesh,32876660,2492103990
2024,Q4,Andhra Pradesh,29984431,1866359979
2024,Q4,Tripura,948916,56659293
2024,Q4,Lakshadweep,11769,1797824
2024,Q4,Manipur,616995,32146128
2024,Q4,Maharashtra,71807805,5042420660
2024,Q4,Dadra & Nagar Haveli & Daman & Diu,644550,41947714
2024,Q4,Meghalaya,571272,44407767
2024,Q4,Andaman & Nicobar Islands,178788,18691683
2024,Q4,Haryana,19051114,1381829141
2024,Q4,Rajasthan,36828375,2764744237
2024,Q4,Ladakh,193724,9881580
2024,Q4,Punjab,11308453,774697562
2024,Q4,Assam,10480927,775169459
2024,Q4,Jharkhand,12212421,1018664763
2024,Q4,Odisha,18611196,1034390206
2024,Q4,Bihar,33345285,2527843258
2024,Q4,Kerala,13689387,873737766
2024,Q4,Karnataka,45917653,3091599006
2024,Q4,Chandigarh,721216,37265017
2024,Q4,Telangana,31726856,2014592558
2024,Q4,Himachal Pradesh,3040819,168576863
2024,Q4,West Bengal,34750181,1994940763
2024,Q4,Gujarat,29861641,2406424143
2024,Q4,Sikkim,320748,18490840
2024,Q4,Nagaland,463523,25389015
2024,Q4,Mizoram,234527,12467831
2024,Q4,Chhattisgarh,10651135,869239311
2024,Q4,Jammu & Kashmir,4288583,246569412
