year,quarter,state,district,count,amount
2022,Q4,West Bengal,North Twenty Four Parganas,10071,13297497.0
2022,Q4,West Bengal,Kolkata,9215,10683722.0
2022,Q4,West Bengal,Howrah,3875,4827100.0
2022,Q4,West Bengal,South Twenty Four Parganas,3847,4752290.0
2022,Q4,West Bengal,Paschim Medinipur,3569,4249681.0
2022,Q4,West Bengal,Paschim Bardhaman,3046,4171226.0
2022,Q4,West Bengal,Hooghly,2783,3954761.0
2022,Q4,West Bengal,Darjiling,2351,3298987.0
2022,Q4,West Bengal,Maldah,2002,2670979.0
2022,Q4,West Bengal,Nadia,1870,2669178.0
2022,Q3,West Bengal,North Twenty Four Parganas,8821,10908223.0
2022,Q3,West Bengal,Kolkata,8666,9648958.0
2022,Q3,West Bengal,South Twenty Four Parganas,3388,4205397.0
2022,Q3,West Bengal,Howrah,3386,3925097.0
2022,Q3,West Bengal,Paschim Bardhaman,2688,3490145.0
2022,Q3,West Bengal,Hooghly,2535,3346651.0
2022,Q3,West Bengal,Purba Bardhaman,2079,2560858.0
2022,Q3,West Bengal,Maldah,1776,2288540.0
2022,Q3,West Bengal,Nadia,1754,2454885.0
2022,Q3,West Bengal,Paschim Medinipur,1733,2279289.0
2022,Q2,West Bengal,North Twenty Four Parganas,6379,8088304.0
2022,Q2,West Bengal,Kolkata,6127,6704205.0
2022,Q2,West Bengal,Howrah,2367,2846008.0
2022,Q2,West Bengal,South Twenty Four Parganas,2163,2809645.0
2022,Q2,West Bengal,Paschim Bardhaman,1807,2478141.0
2022,Q2,West Bengal,Hooghly,1804,2479308.0
2022,Q2,West Bengal,Darjiling,1351,1706036.0
2022,Q2,West Bengal,Purba Bardhaman,1284,1606058.0
2022,Q2,West Bengal,Paschim Medinipur,1273,1512137.0
2022,Q2,West Bengal,Nadia,1189,1690781.0
2022,Q1,West Bengal,Kolkata,6763,7736401.0
2022,Q1,West Bengal,North Twenty Four Parganas,6640,8833426.0
2022,Q1,West Bengal,Howrah,2597,3174912.0
2022,Q1,West Bengal,South Twenty Four Parganas,2553,3584327.0
2022,Q1,West Bengal,Paschim Bardhaman,2161,3005032.0
2022,Q1,West Bengal,Hooghly,1915,2609225.0
2022,Q1,West Bengal,Maldah,1876,2421056.0
2022,Q1,West Bengal,Paschim Medinipur,1780,2355975.0
2022,Q1,West Bengal,Purba Bardhaman,1738,2221947.0
2022,Q1,West Bengal,Darjiling,1572,1998293.0
2021,Q2,West Bengal,North Twenty Four Parganas,3025,2628371.0
2021,Q2,West Bengal,Kolkata,2513,1919618.0
2021,Q2,West Bengal,Hooghly,1814,1161847.0
2021,Q2,West Bengal,Howrah,969,839685.0
2021,Q2,West Bengal,South Twenty Four Parganas,864,813571.0
2021,Q2,West Bengal,Paschim Bardhaman,697,653764.0
2021,Q2,West Bengal,Purba Bardhaman,596,531232.0
2021,Q2,West Bengal,Nadia,535,465213.0
2021,Q2,West Bengal,Purba Medinipur,506,346436.0
2021,Q2,West Bengal,Darjiling,489,422426.0
2021,Q3,West Bengal,Kolkata,4808,3468389.0
2021,Q3,West Bengal,North Twenty Four Parganas,4077,3664190.0
2021,Q3,West Bengal,Hooghly,2972,1791035.0
2021,Q3,West Bengal,Howrah,1702,1365468.0
2021,Q3,West Bengal,South Twenty Four Parganas,1342,1446109.0
2021,Q3,West Bengal,Purba Bardhaman,1246,1113357.0
2021,Q3,West Bengal,Paschim Bardhaman,1104,1186714.0
2021,Q3,West Bengal,Maldah,1082,917118.0
2021,Q3,West Bengal,Darjiling,851,790413.0
2021,Q3,West Bengal,Koch Bihar,743,505542.0
2021,Q1,West Bengal,Kolkata,3750,2611912.0
2021,Q1,West Bengal,North Twenty Four Parganas,2388,2089048.0
2021,Q1,West Bengal,Hooghly,1354,871815.0
2021,Q1,West Bengal,Howrah,892,679890.0
2021,Q1,West Bengal,South Twenty Four Parganas,759,588011.0
2021,Q1,West Bengal,Paschim Bardhaman,609,470478.0
2021,Q1,West Bengal,Maldah,560,326652.0
2021,Q1,West Bengal,Darjiling,549,528296.0
2021,Q1,West Bengal,Paschim Medinipur,530,335241.0
