year,quarter,state,district,count,amount
2024,Q1,West Bengal,North Twenty Four Parganas,139181072,203076605812.0
2024,Q1,West Bengal,Kolkata,93663346,150555656616.0
2024,Q1,West Bengal,Murshidabad,62785121,130645143561.0
2024,Q1,West Bengal,South Twenty Four Parganas,53004493,99042908092.0
2024,Q1,West Bengal,Purba Medinipur,46212626,92373546681.0
2024,Q1,West Bengal,Maldah,42299563,76716033762.0
2024,Q1,West Bengal,Nadia,42154481,79030136775.0
2024,Q1,West Bengal,Howrah,41536962,75162392138.0
2024,Q1,West Bengal,Hooghly,40874089,71315720048.0
2024,Q1,West Bengal,Paschim Medinipur,40845488,69400103434.0
2024,Q3,West Bengal,North Twenty Four Parganas,178475280,236109563711.0
2024,Q3,West Bengal,Kolkata,119098578,171831085257.0
2024,Q3,West Bengal,Murshidabad,82886215,140730755678.0
2024,Q3,West Bengal,South Twenty Four Parganas,65958583,104164399421.0
2024,Q3,West Bengal,Howrah,59633466,93053247695.0
2024,Q3,West Bengal,Purba Medinipur,59353613,100839382780.0
2024,Q3,West Bengal,Nadia,55979410,93001977073.0
2024,Q3,West Bengal,Malda,55705438,88662367325.0
2024,Q3,West Bengal,Hooghly,52727037,80563646470.0
2024,Q3,West Bengal,Paschim Medinipur,51088782,73637199420.0
2024,Q2,West Bengal,North Twenty Four Parganas,158661426,219127154148.0
2024,Q2,West Bengal,Kolkata,104070161,154160580621.0
2024,Q2,West Bengal,Murshidabad,77009854,145354999479.0
2024,Q2,West Bengal,South Twenty Four Parganas,61589198,105436946986.0
2024,Q2,West Bengal,Purba Medinipur,55342585,98897892001.0
2024,Q2,West Bengal,Maldah,52271735,90432057728.0
2024,Q2,West Bengal,Nadia,49543213,85889425747.0
2024,Q2,West Bengal,Howrah,48742679,79695880310.0
2024,Q2,West Bengal,Paschim Medinipur,47935332,75667036301.0
2024,Q2,West Bengal,Hooghly,47725642,77285792203.0
2024,Q4,West Bengal,North Twenty Four Parganas,199005333,256651022725.0
2024,Q4,West Bengal,Kolkata,133085069,185223784274.0
2024,Q4,West Bengal,Murshidabad,88522023,156002264967.0
2024,Q4,West Bengal,South Twenty Four Parganas,76936211,118552623594.0
2024,Q4,West Bengal,Purba Medinipur,67833775,114277126269.0
2024,Q4,West Bengal,Howrah,67496284,102576375745.0
2024,Q4,West Bengal,Nadia,65274337,107932013030.0
2024,Q4,West Bengal,Malda,63424613,102421242316.0
2024,Q4,West Bengal,Hooghly,59676576,90713828065.0
2024,Q4,West Bengal,Paschim Medinipur,58238212,84317739854.0
2022,Q4,West Bengal,Kolkata,151040298,280225478481.87036
2022,Q4,West Bengal,North Twenty Four Parganas,46582002,78365452742.73929
2022,Q4,West Bengal,Purba Bardhaman,23613560,46348665186.57487
2022,Q4,West Bengal,Paschim Bardhaman,17178715,29105384315.98274
2022,Q4,West Bengal,Murshidabad,16453907,41173539931.74539
2022,Q4,West Bengal,South Twenty Four Parganas,15651650,33736981975.122284
2022,Q4,West Bengal,Purba Medinipur,14484229,33099490372.24874
2022,Q4,West Bengal,Hooghly,13931352,27554087254.549385
2022,Q4,West Bengal,Howrah,13350090,27937855668.57577
2022,Q4,West Bengal,Paschim Medinipur,12768161,25216806019.74122
2022,Q2,West Bengal,Kolkata,94525113,185459902953.69675
2022,Q2,West Bengal,North Twenty Four Parganas,39542212,71420194039.6632
2022,Q2,West Bengal,Howrah,26848389,48444965297.30553
2022,Q2,West Bengal,Murshidabad,18656132,48239202742.472496
2022,Q2,West Bengal,Purba Medinipur,13947269,33925841807.925117
2022,Q2,West Bengal,South Twenty Four Parganas,13499039,31391822584.21167
2022,Q2,West Bengal,Hooghly,12160484,24931277877.504135
2022,Q2,West Bengal,Paschim Bardhaman,12056490,21013580033.32985
2022,Q2,West Bengal,Nadia,11642703,26531299344.80262
2022,Q2,West Bengal,Paschim Medinipur,10862436,23376063738.33557
2022,Q1,West Bengal,Kolkata,76392752,155417783792.6444
2022,Q1,West Bengal,North Twenty Four Parganas,31930105,59661500584.75365
2022,Q1,West Bengal,Howrah,23702322,44110902969.5602
2022,Q1,West Bengal,Murshidabad,15588410,41140892341.13233
2022,Q1,West Bengal,Purba Medinipur,11506248,28979875250.478428
2022,Q1,West Bengal,South Twenty Four Parganas,11243229,26965356873.85303
2022,Q1,West Bengal,Hooghly,10497390,21694250432.038437
2022,Q1,West Bengal,Nadia,9791890,22740547217.901745
2022,Q1,West Bengal,Paschim Bardhaman,9783656,17440405834.011703
2022,Q1,West Bengal,Paschim Medinipur,9156926,20055779613.652466
2022,Q3,West Bengal,Kolkata,120867251,228807547826.57977
2022,Q3,West Bengal,North Twenty Four Parganas,42344992,74652935807.86075
2022,Q3,West Bengal,Purba Bardhaman,20249092,40044086165.08384
2022,Q3,West Bengal,Murshidabad,16636159,41049036364.09509
2022,Q3,West Bengal,Paschim Bardhaman,15109046,25748234622.339317
2022,Q3,West Bengal,South Twenty Four Parganas,14502793,31586404198.654728
2022,Q3,West Bengal,Howrah,13939023,29120246801.022976
2022,Q3,West Bengal,Hooghly,13048364,26244376624.64439
2022,Q3,West Bengal,Purba Medinipur,13027140,30572829916.26252
2022,Q3,West Bengal,Maldah,12459741,26922829611.83763
2018,Q3,West Bengal,Birbhum,6066238,6130627463.516832
2018,Q3,West Bengal,Bankura,5179457,2464193070.534754
2018,Q3,West Bengal,North Twenty Four Parganas,4856114,4545902671.152222
2018,Q3,West Bengal,Kolkata,4733562,6263652226.964284
2018,Q3,West Bengal,Murshidabad,4125695,2657568623.9518037
2018,Q3,West Bengal,Purba Bardhaman,3594299,1939579865.0387182
2018,Q3,West Bengal,Nadia,3491909,2140939925.6671455
2018,Q3,West Bengal,Paschim Bardhaman,2874238,1847805644.7258697
2018,Q3,West Bengal,Purba Medinipur,2641955,2004301849.281406
2018,Q3,West Bengal,Purulia,2634127,1255674844.8882928
2018,Q1,West Bengal,Birbhum,2125816,2520486412.452376
2018,Q1,West Bengal,Kolkata,2043129,2753347660.1429114
2018,Q1,West Bengal,North Twenty Four Parganas,1235602,1282978629.1040893
2018,Q1,West Bengal,Murshidabad,833479,421068895.8684155
2018,Q1,West Bengal,Nadia,549427,307840167.70912766
2018,Q1,West Bengal,Purba Medinipur,516243,380534345.7354028
2018,Q1,West Bengal,Maldah,491756,283624702.4245752
2018,Q1,West Bengal,South Twenty Four Parganas,421793,349206351.134772
2018,Q1,West Bengal,Paschim Medinipur,419331,286483484.5978188
2018,Q1,West Bengal,Purba Bardhaman,396998,212356023.7378838
2018,Q4,West Bengal,Kolkata,5401244,8502095208.881001
2018,Q4,West Bengal,Birbhum,4639212,6605150572.181274
2018,Q4,West Bengal,North Twenty Four Parganas,4412163,5106478584.138981
2018,Q4,West Bengal,Murshidabad,2771908,2073820544.6702852
2018,Q4,West Bengal,Hooghly,2105799,1620745549.3092494
2018,Q4,West Bengal,South Twenty Four Parganas,1839620,1674747743.946566
2018,Q4,West Bengal,Bankura,1674744,830580184.9676104
2018,Q4,West Bengal,Paschim Medinipur,1645590,1540090393.616658
2018,Q4,West Bengal,Purba Medinipur,1603344,1962876573.009977
2018,Q4,West Bengal,Nadia,1602207,1483069809.77854
2018,Q2,West Bengal,Birbhum,2775489,3988930679.767912
2018,Q2,West Bengal,Kolkata,2501448,4109821729.8900533
2018,Q2,West Bengal,North Twenty Four Parganas,2119664,2509379355.091834
2018,Q2,West Bengal,Murshidabad,1290440,849517566.9427693
2018,Q2,West Bengal,Nadia,972818,633203448.0011742
2018,Q2,West Bengal,Purba Medinipur,850189,751427465.395005
2018,Q2,West Bengal,Bankura,747564,307725444.78423697
2018,Q2,West Bengal,Purba Bardhaman,738207,421072712.1548571
2018,Q2,West Bengal,South Twenty Four Parganas,727105,672591311.5734882
2018,Q2,West Bengal,Maldah,697698,593137876.5821025
2020,Q4,West Bengal,Kolkata,21348317,48043058849.4187
2020,Q4,West Bengal,North Twenty Four Parganas,15401013,26342979950.47347
2020,Q4,West Bengal,Howrah,6331177,12928867889.090427
2020,Q4,West Bengal,South Twenty Four Parganas,5935781,11173760728.635761
2020,Q4,West Bengal,Hooghly,5674060,9909266975.59495
2020,Q4,West Bengal,Murshidabad,5387550,12347537122.902393
2020,Q4,West Bengal,Purba Medinipur,5289421,11253380562.116867
2020,Q4,West Bengal,Nadia,4552049,9153167135.604681
2020,Q4,West Bengal,Paschim Medinipur,4192666,7873236339.018047
2020,Q4,West Bengal,Paschim Bardhaman,3911566,6878396003.007269
2020,Q1,West Bengal,Kolkata,18756562,33530346186.636322
2020,Q1,West Bengal,North Twenty Four Parganas,9836478,12633823318.181566
2020,Q1,West Bengal,Hooghly,3231486,3828835634.458941
2020,Q1,West Bengal,South Twenty Four Parganas,3069175,4200261969.458927
2020,Q1,West Bengal,Murshidabad,3036374,4375324882.318404
2020,Q1,West Bengal,Paschim Bardhaman,3018166,4107372380.2677307
2020,Q1,West Bengal,Purba Medinipur,3016163,4413323999.166389
2020,Q1,West Bengal,Paschim Medinipur,2731293,3365470258.0827594
2020,Q1,West Bengal,Nadia,2617674,3333078525.009944
2020,Q1,West Bengal,Bankura,2512191,1888506492.2303813
2020,Q3,West Bengal,Kolkata,20532488,47965864187.61055
2020,Q3,West Bengal,North Twenty Four Parganas,10658639,18116407316.286606
2020,Q3,West Bengal,Howrah,5455673,11044292828.999893
2020,Q3,West Bengal,South Twenty Four Parganas,4527471,7893878132.233324
2020,Q3,West Bengal,Hooghly,4366382,7181724884.281664
2020,Q3,West Bengal,Murshidabad,4140812,8701630173.801966
2020,Q3,West Bengal,Purba Medinipur,4082398,8104060674.844238
2020,Q3,West Bengal,Nadia,3385474,6356294160.880415
2020,Q3,West Bengal,Paschim Medinipur,3217002,5676916986.305134
2020,Q3,West Bengal,Paschim Bardhaman,2824660,4923778139.11113
2020,Q2,West Bengal,Kolkata,12981198,28320831275.65245
2020,Q2,West Bengal,North Twenty Four Parganas,7957303,11928129304.115803
2020,Q2,West Bengal,South Twenty Four Parganas,3450717,5442972838.147334
2020,Q2,West Bengal,Hooghly,3388361,4695101065.364115
2020,Q2,West Bengal,Purba Medinipur,2954606,5035068653.193295
2020,Q2,West Bengal,Murshidabad,2954461,5450083954.846977
2020,Q2,West Bengal,Howrah,2820336,4464236054.831258
2020,Q2,West Bengal,Nadia,2630360,4208804458.517461
2020,Q2,West Bengal,Paschim Medinipur,2623659,4138122881.2119293
2020,Q2,West Bengal,Paschim Bardhaman,2283471,3594187323.2869277
2023,Q4,West Bengal,North Twenty Four Parganas,128343164,186466249070.0
2023,Q4,West Bengal,Kolkata,89301671,144473684080.0
2023,Q4,West Bengal,Murshidabad,50879757,105157575181.0
2023,Q4,West Bengal,South Twenty Four Parganas,46005273,84336068028.0
2023,Q4,West Bengal,Purba Medinipur,40572042,79819903794.0
2023,Q4,West Bengal,Hooghly,36891845,64164679961.0
2023,Q4,West Bengal,Howrah,36819833,66863193097.0
2023,Q4,West Bengal,Nadia,36242432,68795681276.0
2023,Q4,West Bengal,Paschim Medinipur,35655256,59683038663.0
2023,Q4,West Bengal,Paschim Bardhaman,35429318,49952764850.0
2023,Q2,West Bengal,North Twenty Four Parganas,96628528,151571700376.0
2023,Q2,West Bengal,Kolkata,67649153,116559452847.0
2023,Q2,West Bengal,Murshidabad,35310718,82718719673.0
2023,Q2,West Bengal,South Twenty Four Parganas,33239786,68370869540.0
2023,Q2,West Bengal,Purba Medinipur,30724502,65958992755.0
2023,Q2,West Bengal,Hooghly,27753013,52098664362.0
2023,Q2,West Bengal,Howrah,27156689,53521241869.0
2023,Q2,West Bengal,Paschim Medinipur,26646934,49071906041.0
2023,Q2,West Bengal,Nadia,26194658,54103857184.0
2023,Q2,West Bengal,Paschim Bardhaman,26104521,38880657302.0
2023,Q3,West Bengal,North Twenty Four Parganas,113910456,166844566801.0
2023,Q3,West Bengal,Kolkata,80296436,130109928950.0
2023,Q3,West Bengal,Murshidabad,41360216,85165951696.0
2023,Q3,West Bengal,South Twenty Four Parganas,38719555,71124947936.0
2023,Q3,West Bengal,Purba Medinipur,34244893,68137175692.0
2023,Q3,West Bengal,Hooghly,32021392,56242231460.0
2023,Q3,West Bengal,Howrah,31734226,58002367148.0
2023,Q3,West Bengal,Paschim Bardhaman,30585672,43403489161.0
2023,Q3,West Bengal,Paschim Medinipur,30418455,50431768074.0
2023,Q3,West Bengal,Nadia,30146530,57878690097.0
2023,Q1,West Bengal,North Twenty Four Parganas,82336235,134391026103.0
2023,Q1,West Bengal,Kolkata,58702328,107217313481.0
2023,Q1,West Bengal,Murshidabad,29388371,73086314736.0
2023,Q1,West Bengal,South Twenty Four Parganas,28211385,61475192574.0
2023,Q1,West Bengal,Purba Medinipur,25649966,58534578130.0
2023,Q1,West Bengal,Hooghly,23858120,46906829867.0
2023,Q1,West Bengal,Howrah,23083776,47827266728.0
2023,Q1,West Bengal,Paschim Medinipur,22338770,43484869208.0
2023,Q1,West Bengal,Paschim Bardhaman,22192434,34627175276.0
2023,Q1,West Bengal,Nadia,22167436,48250853413.0
2021,Q4,West Bengal,Kolkata,65708533,131156784692.10446
2021,Q4,West Bengal,North Twenty Four Parganas,28006815,51407780867.21379
2021,Q4,West Bengal,Howrah,20261475,36416694059.9693
