year,quarter,state,district,registeredusers
2020,Q4,West Bengal,North Twenty Four Parganas,2321888
2020,Q4,West Bengal,Kolkata,1700474
2020,Q4,West Bengal,South Twenty Four Parganas,1118649
2020,Q4,West Bengal,Murshidabad,1085899
2020,Q4,West Bengal,Hooghly,977339
2020,Q4,West Bengal,Howrah,875172
2020,Q4,West Bengal,Nadia,832891
2020,Q4,West Bengal,Purba Medinipur,824961
2020,Q4,West Bengal,Paschim Medinipur,747114
2020,Q4,West Bengal,Paschim Bardhaman,688685
2020,Q1,West Bengal,North Twenty Four Parganas,1789973
2020,Q1,West Bengal,Kolkata,1336585
2020,Q1,West Bengal,Murshidabad,830132
2020,Q1,West Bengal,South Twenty Four Parganas,820857
2020,Q1,West Bengal,Hooghly,755631
2020,Q1,West Bengal,Howrah,654600
2020,Q1,West Bengal,Nadia,633794
2020,Q1,West Bengal,Purba Medinipur,632173
2020,Q1,West Bengal,Paschim Medinipur,572195
2020,Q1,West Bengal,Paschim Bardhaman,538224
2020,Q3,West Bengal,North Twenty Four Parganas,2143943
2020,Q3,West Bengal,Kolkata,1573291
2020,Q3,West Bengal,South Twenty Four Parganas,1023020
2020,Q3,West Bengal,Murshidabad,1005986
2020,Q3,West Bengal,Hooghly,906517
2020,Q3,West Bengal,Howrah,804627
2020,Q3,West Bengal,Nadia,768633
2020,Q3,West Bengal,Purba Medinipur,760873
2020,Q3,West Bengal,Paschim Medinipur,689466
2020,Q3,West Bengal,Purba Bardhaman,639938
2020,Q2,West Bengal,North Twenty Four Parganas,1966125
2020,Q2,West Bengal,Kolkata,1454772
2020,Q2,West Bengal,Murshidabad,922312
2020,Q2,West Bengal,South Twenty Four Parganas,919118
2020,Q2,West Bengal,Hooghly,833240
2020,Q2,West Bengal,Howrah,732829
2020,Q2,West Bengal,Nadia,701101
2020,Q2,West Bengal,Purba Medinipur,696243
2020,Q2,West Bengal,Paschim Medinipur,631931
2020,Q2,West Bengal,Purba Bardhaman,589508
2024,Q4,West Bengal,North Twenty Four Parganas,5085095
2024,Q4,West Bengal,Kolkata,3476288
2024,Q4,West Bengal,South Twenty Four Parganas,2525913
2024,Q4,West Bengal,Murshidabad,2463675
2024,Q4,West Bengal,Howrah,2140752
2024,Q4,West Bengal,Hooghly,1957356
2024,Q4,West Bengal,Nadia,1861738
2024,Q4,West Bengal,Purba Medinipur,1717074
2024,Q4,West Bengal,Paschim Medinipur,1522845
2024,Q4,West Bengal,Paschim Bardhaman,1468252
2024,Q3,West Bengal,North Twenty Four Parganas,4926291
2024,Q3,West Bengal,Kolkata,3380214
2024,Q3,West Bengal,South Twenty Four Parganas,2439683
2024,Q3,West Bengal,Murshidabad,2382885
2024,Q3,West Bengal,Howrah,2078394
2024,Q3,West Bengal,Hooghly,1893901
2024,Q3,West Bengal,Nadia,1798554
2024,Q3,West Bengal,Purba Medinipur,1656767
2024,Q3,West Bengal,Paschim Medinipur,1469201
2024,Q3,West Bengal,Paschim Bardhaman,1423040
2024,Q2,West Bengal,North Twenty Four Parganas,4746814
2024,Q2,West Bengal,Kolkata,3404100
2024,Q2,West Bengal,South Twenty Four Parganas,2333257
2024,Q2,West Bengal,Murshidabad,2271497
2024,Q2,West Bengal,Hooghly,2007748
2024,Q2,West Bengal,Howrah,1807232
2024,Q2,West Bengal,Nadia,1737326
2024,Q2,West Bengal,Purba Medinipur,1721598
2024,Q2,West Bengal,Paschim Medinipur,1558562
2024,Q2,West Bengal,Purba Bardhaman,1432719
2024,Q1,West Bengal,North Twenty Four Parganas,4570438
2024,Q1,West Bengal,Kolkata,3279239
2024,Q1,West Bengal,South Twenty Four Parganas,2243985
2024,Q1,West Bengal,Murshidabad,2188015
2024,Q1,West Bengal,Hooghly,1930844
2024,Q1,West Bengal,Howrah,1737851
2024,Q1,West Bengal,Nadia,1671140
2024,Q1,West Bengal,Purba Medinipur,1655920
2024,Q1,West Bengal,Paschim Medinipur,1498903
2024,Q1,West Bengal,Purba Bardhaman,1377496
2023,Q1,West Bengal,North Twenty Four Parganas,3926974
2023,Q1,West Bengal,Kolkata,2838411
2023,Q1,West Bengal,South Twenty Four Parganas,1913867
2023,Q1,West Bengal,Murshidabad,1868610
2023,Q1,West Bengal,Hooghly,1651210
2023,Q1,West Bengal,Howrah,1488195
2023,Q1,West Bengal,Nadia,1423179
2023,Q1,West Bengal,Purba Medinipur,1409101
2023,Q1,West Bengal,Paschim Medinipur,1274166
2023,Q1,West Bengal,Purba Bardhaman,1171416
2023,Q2,West Bengal,North Twenty Four Parganas,4079270
2023,Q2,West Bengal,Kolkata,2941189
2023,Q2,West Bengal,South Twenty Four Parganas,1993465
2023,Q2,West Bengal,Murshidabad,1943677
2023,Q2,West Bengal,Hooghly,1717832
2023,Q2,West Bengal,Howrah,1546777
2023,Q2,West Bengal,Nadia,1482400
2023,Q2,West Bengal,Purba Medinipur,1468608
2023,Q2,West Bengal,Paschim Medinipur,1328693
2023,Q2,West Bengal,Purba Bardhaman,1221383
2023,Q4,West Bengal,North Twenty Four Parganas,4396190
2023,Q4,West Bengal,Kolkata,3159912
2023,Q4,West Bengal,South Twenty Four Parganas,2154289
2023,Q4,West Bengal,Murshidabad,2100695
2023,Q4,West Bengal,Hooghly,1855311
2023,Q4,West Bengal,Howrah,1669556
2023,Q4,West Bengal,Nadia,1603527
2023,Q4,West Bengal,Purba Medinipur,1589203
2023,Q4,West Bengal,Paschim Medinipur,1437662
2023,Q4,West Bengal,Purba Bardhaman,1321422
2023,Q3,West Bengal,North Twenty Four Parganas,4241525
2023,Q3,West Bengal,Kolkata,3053050
2023,Q3,West Bengal,South Twenty Four Parganas,2074469
2023,Q3,West Bengal,Murshidabad,2023550
2023,Q3,West Bengal,Hooghly,1787671
2023,Q3,West Bengal,Howrah,1608895
2023,Q3,West Bengal,Nadia,1544294
2023,Q3,West Bengal,Purba Medinipur,1530289
2023,Q3,West Bengal,Paschim Medinipur,1384076
2023,Q3,West Bengal,Purba Bardhaman,1272153
2021,Q2,West Bengal,North Twenty Four Parganas,2660664
2021,Q2,West Bengal,Kolkata,1944113
2021,Q2,West Bengal,South Twenty Four Parganas,1286588
2021,Q2,West Bengal,Murshidabad,1248602
2021,Q2,West Bengal,Hooghly,1117731
2021,Q2,West Bengal,Howrah,1004570
2021,Q2,West Bengal,Nadia,955428
2021,Q2,West Bengal,Purba Medinipur,946277
2021,Q2,West Bengal,Paschim Medinipur,856640
2021,Q2,West Bengal,Paschim Bardhaman,789026
2021,Q1,West Bengal,North Twenty Four Parganas,2491076
2021,Q1,West Bengal,Kolkata,1823074
2021,Q1,West Bengal,South Twenty Four Parganas,1202229
2021,Q1,West Bengal,Murshidabad,1166975
2021,Q1,West Bengal,Hooghly,1046242
2021,Q1,West Bengal,Howrah,940133
2021,Q1,West Bengal,Nadia,893107
2021,Q1,West Bengal,Purba Medinipur,884605
2021,Q1,West Bengal,Paschim Medinipur,800530
2021,Q1,West Bengal,Paschim Bardhaman,738540
2021,Q4,West Bengal,North Twenty Four Parganas,3043008
2021,Q4,West Bengal,Kolkata,2213659
2021,Q4,West Bengal,South Twenty Four Parganas,1477679
2021,Q4,West Bengal,Murshidabad,1435266
2021,Q4,West Bengal,Hooghly,1278850
2021,Q4,West Bengal,Howrah,1150144
2021,Q4,West Bengal,Nadia,1096767
2021,Q4,West Bengal,Purba Medinipur,1087362
