year,quarter,brand,count,percentage
2022,Q1,Xiaomi,88426997,0.2371003160459078
2022,Q1,Vivo,77224616,0.20706324404665546
2022,Q1,Samsung,65886728,0.17666283558211032
2022,Q1,Oppo,49093857,0.13163591895597906
2022,Q1,Realme,32685615,0.08764031245632897
2022,Q1,Apple,10780434,0.028905700693556857
2022,Q1,OnePlus,7974546,0.021382241182776228
2022,Q1,Motorola,5610140,0.015042532396093801
2022,Q1,Huawei,4882972,0.013092768540396307
2022,Q1,Tecno,4550078,0.012200176059733569
2022,Q1,Others,25835848,0.06927395404046159
2019,Q2,Xiaomi,36936092,0.26046508754717795
2019,Q2,Samsung,28857066,0.20349359704986367
2019,Q2,Vivo,22157338,0.15624860859623194
2019,Q2,Oppo,15797055,0.11139731061863788
2019,Q2,Realme,6829373,0.04815921609512272
2019,Q2,Apple,4511382,0.031813260254733036
2019,Q2,Motorola,3917097,0.02762249490378647
2019,Q2,OnePlus,3331797,0.02349508977003915
2019,Q2,Lenovo,2826639,0.019932828156245322
2019,Q2,Huawei,2738178,0.019309020902637905
2019,Q2,Others,13906209,0.09806348610552394
2019,Q4,Xiaomi,46286972,0.25963209313083474
2019,Q4,Samsung,35921409,0.2014897541122112
2019,Q4,Vivo,29444698,0.16516069734147446
2019,Q4,Oppo,20682715,0.11601313188252003
2019,Q4,Realme,9177720,0.051479510341888954
2019,Q4,Apple,5361581,0.030074088612245232
2019,Q4,Motorola,4494286,0.02520927230471258
2019,Q4,OnePlus,3833328,0.02150183797499297
2019,Q4,Huawei,3492460,0.01958984700869426
2019,Q4,Lenovo,3062118,0.01717598000909641
2019,Q4,Others,16521798,0.09267378728132916
2019,Q3,Xiaomi,41454122,0.26023666412808916
2019,Q3,Samsung,32271518,0.2025910038733804
2019,Q3,Vivo,25597791,0.16069532817238352
2019,Q3,Oppo,18090143,0.11356454414642055
2019,Q3,Realme,7851606,0.049290050178558587
2019,Q3,Apple,4969855,0.03119927341363796
2019,Q3,Motorola,4193041,0.026322665871256593
2019,Q3,OnePlus,3607223,0.022645074482246137
2019,Q3,Huawei,3116564,0.019564863028619785
2019,Q3,Lenovo,2892338,0.018157238806092893
2019,Q3,Others,15249733,0.09573329389931445
2019,Q1,Xiaomi,32175910,0.26067573876837935
2019,Q1,Samsung,25070398,0.20310985827183445
2019,Q1,Vivo,18778714,0.15213727117803685
2019,Q1,Oppo,13426696,0.10877746422769222
2019,Q1,Realme,5948556,0.04819270783344047
2019,Q1,Apple,4005092,0.03244757695851729
2019,Q1,Motorola,3531217,0.028608440296683458
2019,Q1,OnePlus,3042107,0.02464587604942512
2019,Q1,Lenovo,2553783,0.02068967964477549
2019,Q1,Huawei,2364933,0.019159696086690933
2019,Q1,Others,12535293,0.10155569068452437
2018,Q4,Xiaomi,26709586,0.2611876516661043
2018,Q4,Samsung,20740259,0.2028148075060686
2018,Q4,Vivo,14966905,0.14635834376690357
2018,Q4,Oppo,10754040,0.10516158706178944
2018,Q4,Realme,4997725,0.04887174426526046
2018,Q4,Apple,3435529,0.03359534482267152
2018,Q4,Motorola,3089947,0.030215968180964094
2018,Q4,OnePlus,2668868,0.026098321611080475
2018,Q4,Lenovo,2257295,0.022073632296945332
2018,Q4,Huawei,1899667,0.01857646025204559
2018,Q4,Others,10742234,0.10504613857016662
2018,Q3,Xiaomi,20859459,0.2607075466368654
2018,Q3,Samsung,16228372,0.20282688299971735
2018,Q3,Vivo,11118842,0.13896650048608344
2018,Q3,Oppo,8103650,0.10128175952712073
2018,Q3,Realme,3962596,0.04952566993578579
2018,Q3,Apple,2774989,0.034682614450081785
2018,Q3,Motorola,2529272,0.03161157237574176
2018,Q3,OnePlus,2231557,0.027890644270799327
2018,Q3,Lenovo,1857680,0.023217821480239355
2018,Q3,Huawei,1444125,0.018049091579362787
2018,Q3,Others,8900410,0.11123989625820226
2018,Q2,Xiaomi,16416511,0.25792532028069054
2018,Q2,Samsung,12943051,0.2033526231355927
2018,Q2,Vivo,8365074,0.13142648828497586
2018,Q2,Oppo,6246581,0.09814213294678001
2018,Q2,Realme,3165738,0.04973797340828102
2018,Q2,Apple,2326897,0.03655866060609212
2018,Q2,Motorola,2099718,0.03298937500478214
2018,Q2,OnePlus,1890141,0.029696640339757014
2018,Q2,Lenovo,1627153,0.025564747507596863
2018,Q2,Huawei,1104740,0.017356941333447166
2018,Q2,Others,7462707,0.11724909715200456
2018,Q1,Xiaomi,11926334,0.25441289809538475
2018,Q1,Samsung,9609401,0.204988017052909
2018,Q1,Vivo,5894293,0.1257372269092363
2018,Q1,Oppo,4479351,0.09555364368434255
2018,Q1,Realme,2376866,0.05070337351313361
2018,Q1,Apple,1825153,0.03893421601285741
2018,Q1,Motorola,1593250,0.033987254582210406
2018,Q1,OnePlus,1536418,0.03277491273227086
2018,Q1,Lenovo,1246507,0.026590522986039446
2018,Q1,Huawei,808774,0.01725279010668297
2018,Q1,Others,5581520,0.1190651443249327
2021,Q3,Xiaomi,80749587,0.24592165776664782
2021,Q3,Vivo,65338474,0.19898734394793893
2021,Q3,Samsung,61299387,0.1866863649856104
2021,Q3,Oppo,42064749,0.1281075630469533
2021,Q3,Realme,24185973,0.07365801852162271
2021,Q3,Apple,8753177,0.02665766945117494
2021,Q3,OnePlus,6266945,0.01908588713317388
2021,Q3,Motorola,5650891,0.017209703903236437
2021,Q3,Huawei,5126319,0.015612127734110446
2021,Q3,Lenovo,3585329,0.010919065769572762
2021,Q3,Others,25334092,0.07715459773995835
2021,Q4,Xiaomi,84820436,0.2415425989522567
2021,Q4,Vivo,71483071,0.20356187216991778
2021,Q4,Samsung,63618499,0.18116598209777587
2021,Q4,Oppo,45569087,0.12976678999694713
2021,Q4,Realme,28686022,0.08168899659371726
2021,Q4,Apple,9883075,0.02814396781855819
2021,Q4,OnePlus,7178086,0.020440988395093944
2021,Q4,Motorola,5648173,0.016084265185243384
2021,Q4,Huawei,4930699,0.014041119183958135
2021,Q4,Tecno,3799428,0.01081960618136854
2021,Q4,Others,25544819,0.07274381342516309
2021,Q1,Xiaomi,71553154,0.2510765339828075
2021,Q1,Samsung,56154585,0.19704370500625243
2021,Q1,Vivo,53341749,0.18717360041880035
2021,Q1,Oppo,35512326,0.12461102309686499
2021,Q1,Realme,17541519,0.06155233620188934
2021,Q1,Apple,7576154,0.026584355558106953
2021,Q1,Motorola,5792974,0.020327263748185304
2021,Q1,Huawei,5145488,0.018055266895574275
2021,Q1,OnePlus,4895538,0.017178204513823743
2021,Q1,Lenovo,3907304,0.0137105395177571
2021,Q1,Others,23564639,0.08268717105993804
2021,Q2,Xiaomi,75948492,0.2488009179222856
2021,Q2,Samsung,59144667,0.193752990379426
2021,Q2,Vivo,58646521,0.1921211056797362
2021,Q2,Oppo,38402777,0.12580429073384153
2021,Q2,Realme,20619455,0.06754761280918206
2021,Q2,Apple,8143414,0.02667714427063531
2021,Q2,Motorola,5744294,0.018817827482545377
2021,Q2,OnePlus,5365636,0.0175773754933391
2021,Q2,Huawei,5068955,0.016605473310869152
2021,Q2,Lenovo,3768280,0.01234457062015386
2021,Q2,Others,24405595,0.0799506912979858
2020,Q1,Xiaomi,51004503,0.2581524011793304
2020,Q1,Samsung,39560399,0.20022961489228475
2020,Q1,Vivo,33573609,0.1699282861281087
2020,Q1,Oppo,23375458,0.11831172262116912
2020,Q1,Realme,10582375,0.05356126137392451
2020,Q1,Apple,5755009,0.02912820054650189
2020,Q1,Motorola,4756036,0.02407203366917109
2020,Q1,OnePlus,4027133,0.020382789610135413
2020,Q1,Huawei,3850925,0.019490936623997944
2020,Q1,Lenovo,3276777,0.01658496408991972
2020,Q1,Others,17812940,0.09015778926545646
2020,Q2,Xiaomi,56202867,0.25663840132185595
2020,Q2,Samsung,43708551,0.19958577295949706
2020,Q2,Vivo,38093292,0.17394489074670594
2020,Q2,Oppo,26438928,0.12072772398930565
2020,Q2,Realme,12034857,0.05495460686404392
2020,Q2,Apple,6099798,0.02785342618030953
2020,Q2,Motorola,5066664,0.02313584018756552
2020,Q2,Huawei,4210805,0.01922774266085176
2020,Q2,OnePlus,4176941,0.019073109929707222
2020,Q2,Lenovo,3472895,0.01585823407831965
2020,Q2,Others,19490728,0.08900025108183779
2020,Q4,Xiaomi,66711711,0.2524364649776773
2020,Q4,Samsung,52578970,0.19895831061756677
2020,Q4,Vivo,48210115,0.18242660582888207
2020,Q4,Oppo,32684041,0.12367609296103152
2020,Q4,Realme,15590747,0.05899523487025131
2020,Q4,Apple,7052763,0.026687586532525877
2020,Q4,Motorola,5650618,0.02138188350257173
2020,Q4,Huawei,4915828,0.01860144529583847
2020,Q4,OnePlus,4621214,0.017486628787940276
2020,Q4,Lenovo,3880170,0.01468252550609044
2020,Q4,Others,22375116,0.08466722111962421
2020,Q3,Xiaomi,61383234,0.2545230115014083
2020,Q3,Samsung,48012276,0.19908089359639786
2020,Q3,Vivo,43182078,0.179052679685282
2020,Q3,Oppo,29530065,0.122445178982136
2020,Q3,Realme,13737667,0.05696266143037556
2020,Q3,Apple,6523683,0.02705017860806327
2020,Q3,Motorola,5363550,0.02223973566362402
2020,Q3,Huawei,4565437,0.01893039350223801
2020,Q3,OnePlus,4382412,0.018171487997519158
2020,Q3,Lenovo,3679349,0.015256266684233275
2020,Q3,Others,20809932,0.08628751234872253
